,Pais,Codigo,Periodo,Value,Indicador
166,Thailand,THA,2016,0.6,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
167,Thailand,THA,2017,0.575,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
168,Thailand,THA,2018,0.575,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
169,Togo,TGO,2016,0.425,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
170,Togo,TGO,2017,0.45,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
171,Togo,TGO,2018,0.45,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
172,Uganda,UGA,2017,0.575,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
173,Ukraine,UKR,2015,0.55,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
174,Ukraine,UKR,2016,0.575,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
175,Ukraine,UKR,2017,0.575,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
176,Ukraine,UKR,2018,0.5,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
177,Zimbabwe,ZWE,2017,0.475,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
178,Zimbabwe,ZWE,2018,0.625,Puntuación de la adopción y aplicación de las estrategias nacionales de RRD en línea con el Marco de Sendai 
0,Afghanistan,AFG,2017,0.00267,Pérdidas económicas directas atribuidas a las catástrofes en relación con el PIB (%) 
1,Albania,ALB,2005,0.00436,Pérdidas económicas directas atribuidas a las catástrofes en relación con el PIB (%) 
2,Albania,ALB,2006,0.00036,Pérdidas económicas directas atribuidas a las catástrofes en relación con el PIB (%) 
3,Albania,ALB,2007,0.00031,Pérdidas económicas directas atribuidas a las catástrofes en relación con el PIB (%) 
4,Albania,ALB,2008,0.00026,Pérdidas económicas directas atribuidas a las catástrofes en relación con el PIB (%) 
5,Albania,ALB,2009,0.00174,Pérdidas económicas directas atribuidas a las catástrofes en relación con el PIB (%) 
6,Albania,ALB,2010,0.01236,Pérdidas económicas directas atribuidas a las catástrofes en relación con el PIB (%) 
7,Albania,ALB,2011,0.00073,Pérdidas económicas directas atribuidas a las catástrofes en relación con el PIB (%) 
8,Albania,ALB,2012,0.00089,Pérdidas económicas directas atribuidas a las catástrofes en relación con el PIB (%) 
9,Albania,ALB,2013,0.00256,Pérdidas económicas directas atribuidas a las catástrofes en relación con el PIB (%) 
10,Albania,ALB,2014,0.00053,Pérdidas económicas directas atribuidas a las catástrofes en relación con el PIB (%) 
11,Albania,ALB,2015,0.00025,Pérdidas económicas directas atribuidas a las catástrofes en relación con el PIB (%) 
12,Albania,ALB,2016,2.00E-05,Pérdidas económicas directas atribuidas a las catástrofes en relación con el PIB (%) 
13,Albania,ALB,2018,0.00041,Pérdidas económicas directas atribuidas a las catástrofes en relación con el PIB (%) 
14,Angola,AGO,2005,0.00102,Pérdidas económicas directas atribuidas a las catástrofes en relación con el PIB (%) 
15,Angola,AGO,2006,0.00141,Pérdidas económicas directas atribuidas a las catástrofes en relación con el PIB (%) 
16,Angola,AGO,2007,5.00E-05,Pérdidas económicas directas atribuidas a las catástrofes en relación con el PIB (%) 
17,Angola,AGO,2008,8.00E-05,Pérdidas económicas directas atribuidas a las catástrofes en relación con el PIB (%) 
18,Angola,AGO,2009,0.0004,Pérdidas económicas directas atribuidas a las catástrofes en relación con el PIB (%) 
19,Angola,AGO,2010,0.00055,Pérdidas económicas directas atribuidas a las catástrofes en relación con el PIB (%) 
20,Angola,AGO,2011,0.00139,Pérdidas económicas directas atribuidas a las catástrofes en relación con el PIB (%) 
21,Angola,AGO,2012,0.00022,Pérdidas económicas directas atribuidas a las catástrofes en relación con el PIB (%) 
22,Angola,AGO,2013,0.00073,Pérdidas económicas directas atribuidas a las catástrofes en relación con el PIB (%) 
23,Angola,AGO,2014,0.00105,Pérdidas económicas directas atribuidas a las catástrofes en relación con el PIB (%) 
24,Angola,AGO,2015,0.00122,Pérdidas económicas directas atribuidas a las catástrofes en relación con el PIB (%) 
25,Angola,AGO,2016,0.00092,Pérdidas económicas directas atribuidas a las catástrofes en relación con el PIB (%) 
26,Angola,AGO,2017,0.00065,Pérdidas económicas directas atribuidas a las catástrofes en relación con el PIB (%) 
27,Angola,AGO,2018,0.00057,Pérdidas económicas directas atribuidas a las catástrofes en relación con el PIB (%) 
28,Antigua and Barbuda,ATG,2008,0.01337,Pérdidas económicas directas atribuidas a las catástrofes en relación con el PIB (%) 
29,Antigua and Barbuda,ATG,2009,3.00E-05,Pérdidas económicas directas atribuidas a las catástrofes en relación con el PIB (%) 
30,Antigua and Barbuda,ATG,2010,0.00942,Pérdidas económicas directas atribuidas a las catástrofes en relación con el PIB (%) 
31,Antigua and Barbuda,ATG,2011,0.00019,Pérdidas económicas directas atribuidas a las catástrofes en relación con el PIB (%) 
32,Antigua and Barbuda,ATG,2012,0.00021,Pérdidas económicas directas atribuidas a las catástrofes en relación con el PIB (%) 
33,Antigua and Barbuda,ATG,2013,0.00016,Pérdidas económicas directas atribuidas a las catástrofes en relación con el PIB (%) 
34,Antigua and Barbuda,ATG,2014,0.00026,Pérdidas económicas directas atribuidas a las catástrofes en relación con el PIB (%) 
35,Argentina,ARG,2005,0.006,Pérdidas económicas directas atribuidas a las catástrofes en relación con el PIB (%) 
36,Argentina,ARG,2006,0.00272,Pérdidas económicas directas atribuidas a las catástrofes en relación con el PIB (%) 
37,Argentina,ARG,2007,0.00286,Pérdidas económicas directas atribuidas a las catástrofes en relación con el PIB (%) 
38,Argentina,ARG,2008,0.00025,Pérdidas económicas directas atribuidas a las catástrofes en relación con el PIB (%) 
39,Argentina,ARG,2010,0.00029,Pérdidas económicas directas atribuidas a las catástrofes en relación con el PIB (%) 
40,Argentina,ARG,2011,1.00E-05,Pérdidas económicas directas atribuidas a las catástrofes en relación con el PIB (%) 
41,Argentina,ARG,2012,0.00374,Pérdidas económicas directas atribuidas a las catástrofes en relación con el PIB (%) 
42,Argentina,ARG,2013,0.00016,Pérdidas económicas directas atribuidas a las catástrofes en relación con el PIB (%) 
43,Argentina,ARG,2014,0.00128,Pérdidas económicas directas atribuidas a las catástrofes en relación con el PIB (%) 
44,Argentina,ARG,2016,0.00027,Pérdidas económicas directas atribuidas a las catástrofes en relación con el PIB (%) 
45,Argentina,ARG,2017,0.00038,Pérdidas económicas directas atribuidas a las catástrofes en relación con el PIB (%) 
46,Armenia,ARM,2016,0.03742,Pérdidas económicas directas atribuidas a las catástrofes en relación con el PIB (%) 
47,Armenia,ARM,2017,0.00116,Pérdidas económicas directas atribuidas a las catástrofes en relación con el PIB (%) 
48,Australia,AUS,2015,6.00E-05,Pérdidas económicas directas atribuidas a las catástrofes en relación con el PIB (%) 
49,Australia,AUS,2016,3.00E-05,Pérdidas económicas directas atribuidas a las catástrofes en relación con el PIB (%) 
50,Australia,AUS,2017,7.00E-05,Pérdidas económicas directas atribuidas a las catástrofes en relación con el PIB (%) 
